2026-07-29 11:27:51,773 | INFO | Source: C:\Users\Home\IdeaProjects\LTFU-IN-HIV-PREDICTOR\data\raw\LTFU in HIV DataSet NDR.xlsx
2026-07-29 11:29:17,787 | INFO | 
RAW COLUMN NAMES:
2026-07-29 11:29:17,787 | INFO | 0: 'State'
2026-07-29 11:29:17,788 | INFO | 1: 'LGA'
2026-07-29 11:29:17,788 | INFO | 2: 'Sex'
2026-07-29 11:29:17,788 | INFO | 3: 'Patient Number '
2026-07-29 11:29:17,788 | INFO | 4: 'Date Of Birth'
2026-07-29 11:29:17,788 | INFO | 5: 'Age at ART Initiation'
2026-07-29 11:29:17,788 | INFO | 6: 'Current Age'
2026-07-29 11:29:17,789 | INFO | 7: 'ART Start Date'
2026-07-29 11:29:17,789 | INFO | 8: 'Last Drug Pickup date'
2026-07-29 11:29:17,789 | INFO | 9: 'Last Drug Pickup date Q1'
2026-07-29 11:29:17,789 | INFO | 10: 'Last Drug Pickup date Q2'
2026-07-29 11:29:17,789 | INFO | 11: 'Last Drug Pickup date Q3'
2026-07-29 11:29:17,789 | INFO | 12: 'Last Drug Pickup date Q4'
2026-07-29 11:29:17,789 | INFO | 13: 'Last Regimen'
2026-07-29 11:29:17,789 | INFO | 14: 'Last Clinic Visit Date'
2026-07-29 11:29:17,789 | INFO | 15: 'Days Of ARV Refill'
2026-07-29 11:29:17,789 | INFO | 16: 'Pregnancy Status'
2026-07-29 11:29:17,789 | INFO | 17: 'Current Viral Load'
2026-07-29 11:29:17,790 | INFO | 18: 'Date Of Current Viral Load'
2026-07-29 11:29:17,790 | INFO | 19: 'Current Viral Load Q1'
2026-07-29 11:29:17,790 | INFO | 20: 'Date Of Current Viral Load Q1'
2026-07-29 11:29:17,790 | INFO | 21: 'Current Viral Load Q2'
2026-07-29 11:29:17,791 | INFO | 22: 'Date Of Current Viral Load Q2'
2026-07-29 11:29:17,791 | INFO | 23: 'Current Viral Load Q3'
2026-07-29 11:29:17,791 | INFO | 24: 'Date Of Current Viral Load Q3'
