descriptive_test_rank,model,classification_threshold,test_records,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,negative_predictive_value,f1_score,roc_auc,pr_auc_average_precision,matthews_correlation_coefficient,brier_score,log_loss,true_negatives,false_positives,false_negatives,true_positives,prediction_seconds,predictions_per_second,model_file_size_bytes,model_key,model_path,actual_ltfu_records,actual_retained_records,predicted_ltfu_records,predicted_retained_records,prevalence,predicted_positive_rate,false_positive_rate,false_negative_rate
1,Logistic Regression,0.5,60855,0.9849478268014132,0.9848625446705983,0.9863617719442166,0.9823994008306666,0.9873256885105302,0.9836387227443907,0.9843765990107454,0.998270578666997,0.9984895114334629,0.9698627822392787,0.012062941863934128,0.04961934994486332,31082,399,517,28857,0.1683172001503408,361549.50263932836,4628,logistic_regression,C:\Users\Home\IdeaProjects\LTFU-IN-HIV-PREDICTOR\models\trained\logistic_regression_pipeline.joblib,29374,31481,29256,31599,0.482688357571276,0.48074932215923094,0.012674311489469839,0.017600599169333424
2,XGBoost,0.5,60855,0.9714731739380494,0.9714115934930017,0.9712200777467094,0.9696330087832777,0.9731901782027255,0.9717085857464557,0.9704258943781942,0.9964922589015083,0.9965170860357653,0.9428759237646692,0.021174447881393055,0.077396864623778,30637,844,892,28482,0.2422885000705719,251167.51303621358,352356,xgboost,C:\Users\Home\IdeaProjects\LTFU-IN-HIV-PREDICTOR\models\trained\xgboost_pipeline.joblib,29374,31481,29326,31529,0.482688357571276,0.48189959740366445,0.026809821797274546,0.03036699121672227
3,Random Forest,0.5,60855,0.9626817845698792,0.9627378193796509,0.9585800818923218,0.9643562334036904,0.9611194053556114,0.9665537950421671,0.9614594823928723,0.9937257674297398,0.9935053938289631,0.9253047420681552,0.03057270717377077,0.1160293017354725,30257,1224,1047,28327,0.7511748000979424,81013.10106790774,44257864,random_forest,C:\Users\Home\IdeaProjects\LTFU-IN-HIV-PREDICTOR\models\trained\random_forest_pipeline.joblib,29374,31481,29551,31304,0.482688357571276,0.4855969106893435,0.03888059464438868,0.03564376659630966
4,AdaBoost,0.5,60855,0.8740941582450086,0.8775750062699323,0.8036643356643357,0.9781098931027439,0.7770401194371208,0.9743875721967735,0.8823475216510043,0.9717179987975944,0.9596449405004137,0.7665154323156071,0.09364879256110155,0.3402732577600795,24462,7019,643,28731,2.915216999826953,20874.946874833793,23250,adaboost,C:\Users\Home\IdeaProjects\LTFU-IN-HIV-PREDICTOR\models\trained\adaboost_pipeline.joblib,29374,31481,35750,25105,0.482688357571276,0.5874619998356749,0.2229598805628792,0.021890106897256078
