rank,model,feature,importance,raw_value,importance_type
69,Random Forest,LGA_Ukwa West,0.0003064342987733635,0.0003064342987733635,estimator_feature_importance
70,Random Forest,Age Group_65+,0.00030181006680922396,0.00030181006680922396,estimator_feature_importance
71,Random Forest,LGA_Udenu,0.0002903367275235702,0.0002903367275235702,estimator_feature_importance
72,Random Forest,LGA_Isiala Mbano,0.0002823589546394487,0.0002823589546394487,estimator_feature_importance
73,Random Forest,Is Elderly,0.0002721940124549376,0.0002721940124549376,estimator_feature_importance
74,Random Forest,LGA_Ngor Okpala,0.00022672454553984413,0.00022672454553984413,estimator_feature_importance
75,Random Forest,LGA_Bende,0.0002159868297342758,0.0002159868297342758,estimator_feature_importance
76,Random Forest,LGA_Aninri,0.0001892791229317133,0.0001892791229317133,estimator_feature_importance
77,Random Forest,Last Regimen_TDF-FTC-EFV,0.00016959729321861723,0.00016959729321861723,estimator_feature_importance
78,Random Forest,LGA_Nwangele,0.0001672406700046503,0.0001672406700046503,estimator_feature_importance
79,Random Forest,LGA_Isuikwuato,0.00015728459298376292,0.00015728459298376292,estimator_feature_importance
80,Random Forest,Last Regimen_TDF-3TC-LPV/r,0.00015670415270726876,0.00015670415270726876,estimator_feature_importance
81,Random Forest,Pregnancy Status_P,0.0001517466152440614,0.0001517466152440614,estimator_feature_importance
82,Random Forest,LGA_Igbo Etiti,0.00010307840103735897,0.00010307840103735897,estimator_feature_importance
83,Random Forest,Last Regimen_TDF+3TC+EFV,9.974380245590679e-05,9.974380245590679e-05,estimator_feature_importance
84,Random Forest,LGA_Ehime Mbano,8.799512935431997e-05,8.799512935431997e-05,estimator_feature_importance
85,Random Forest,Last Regimen_AZT-3TC-ATV/r,8.666878135257409e-05,8.666878135257409e-05,estimator_feature_importance
86,Random Forest,Last Regimen_d4T-3TC-NVP,7.886589922345007e-05,7.886589922345007e-05,estimator_feature_importance
87,Random Forest,LGA_Ideato North,6.573513864639878e-05,6.573513864639878e-05,estimator_feature_importance
88,Random Forest,LGA_Ikeduru,6.421749914181055e-05,6.421749914181055e-05,estimator_feature_importance
89,Random Forest,Last Regimen_TDF+FTC+DTG,6.308554032780315e-05,6.308554032780315e-05,estimator_feature_importance
90,Random Forest,Last Regimen_ABC-3TC-ATV/r,6.118173966784909e-05,6.118173966784909e-05,estimator_feature_importance
91,Random Forest,LGA_Nkwerre,5.101949642807009e-05,5.101949642807009e-05,estimator_feature_importance
92,Random Forest,Last Regimen_TDF+3TC+NVP,4.8501488349193354e-05,4.8501488349193354e-05,estimator_feature_importance
93,Random Forest,Last Regimen_AZT-3TC-EFV,3.410089488789903e-05,3.410089488789903e-05,estimator_feature_importance
94,Random Forest,LGA_Njaba,2.839267745619025e-05,2.839267745619025e-05,estimator_feature_importance
95,Random Forest,LGA_Uzo Uwani,2.2313273275128795e-05,2.2313273275128795e-05,estimator_feature_importance
96,Random Forest,Last Regimen_ABC-3TC-LPV/r,2.2136571840485394e-05,2.2136571840485394e-05,estimator_feature_importance
97,Random Forest,LGA_Ugwunagbo,2.203539354963581e-05,2.203539354963581e-05,estimator_feature_importance
98,Random Forest,Last Regimen_AZT-3TC-LPV/r,1.978102667554567e-05,1.978102667554567e-05,estimator_feature_importance
99,Random Forest,LGA_Oguta,1.828370302472653e-05,1.828370302472653e-05,estimator_feature_importance
100,Random Forest,Last Regimen_TDF-FTC-DTG,1.0300176176415222e-05,1.0300176176415222e-05,estimator_feature_importance
101,Random Forest,LGA_Ikwuano,1.029407432127758e-05,1.029407432127758e-05,estimator_feature_importance
102,Random Forest,LGA_Isu,8.3248330179273e-06,8.3248330179273e-06,estimator_feature_importance
103,Random Forest,LGA_Ezinihitte,3.3853326114062644e-06,3.3853326114062644e-06,estimator_feature_importance
104,Random Forest,Last Regimen_d4T+3TC+NVP,3.200639223042994e-06,3.200639223042994e-06,estimator_feature_importance
105,Random Forest,Last Regimen_TDF+3TC+LPV/r,2.8314703821135675e-06,2.8314703821135675e-06,estimator_feature_importance
106,Random Forest,LGA_Orsu,2.748548971348431e-06,2.748548971348431e-06,estimator_feature_importance
107,Random Forest,LGA_Igbo Eze South,2.3008849814659193e-06,2.3008849814659193e-06,estimator_feature_importance
108,Random Forest,Last Regimen_ABC-3TC-NVP,1.9767232512566597e-06,1.9767232512566597e-06,estimator_feature_importance
109,Random Forest,Last Regimen_ABC-3TC-EFV,1.740027353680785e-06,1.740027353680785e-06,estimator_feature_importance
110,Random Forest,ART Initiation Age Group_Unknown,1.4958856148592457e-06,1.4958856148592457e-06,estimator_feature_importance
111,Random Forest,Last Regimen_D4T-3TC-EFV,1.4527193756867548e-06,1.4527193756867548e-06,estimator_feature_importance
112,Random Forest,Last Regimen_AZT-3TC-TDF,9.953191534310482e-07,9.953191534310482e-07,estimator_feature_importance
113,Random Forest,Last Regimen_AZT+3TC+LPV/r,7.928596351362104e-07,7.928596351362104e-07,estimator_feature_importance
114,Random Forest,Last Regimen_TDF-FTC-NVP,2.9885031770201036e-07,2.9885031770201036e-07,estimator_feature_importance
115,Random Forest,Last Regimen_AZT+3TC+TDF,2.8884237876488884e-07,2.8884237876488884e-07,estimator_feature_importance
116,Random Forest,Last Regimen_ABC+3TC+EFV,1.267068054924682e-07,1.267068054924682e-07,estimator_feature_importance
117,Random Forest,Last Regimen_TDF+FTC+EFV,5.8962843290667895e-08,5.8962843290667895e-08,estimator_feature_importance
118,Random Forest,Last Regimen_TDF-FTC-LPV/r,1.0289226234648925e-08,1.0289226234648925e-08,estimator_feature_importance
119,Random Forest,Current Status Q3 (28 Days),0.0,0.0,estimator_feature_importance
120,Random Forest,Current Status Q3 (90 Days),0.0,0.0,estimator_feature_importance
121,Random Forest,Last Regimen_ABC-3TC-TDF,0.0,0.0,estimator_feature_importance
122,Random Forest,Last Regimen_ABC+3TC+LPV/r,0.0,0.0,estimator_feature_importance
123,Random Forest,Last Regimen_ABC+FTC+DTG,0.0,0.0,estimator_feature_importance
124,Random Forest,Last Regimen_ABC+3TC+NVP,0.0,0.0,estimator_feature_importance
125,Random Forest,Last Regimen_ABC+3TC+TDF,0.0,0.0,estimator_feature_importance
126,Random Forest,Last Regimen_AZT-3TC-DTG,0.0,0.0,estimator_feature_importance
127,Random Forest,Last Regimen_AZT-3TC-ABC,0.0,0.0,estimator_feature_importance
128,Random Forest,Last Regimen_ABC-DDI-LPV/r,0.0,0.0,estimator_feature_importance
129,Random Forest,Last Regimen_ABC-3TC-ddi,0.0,0.0,estimator_feature_importance
130,Random Forest,Last Regimen_ABC-FTC-EFV,0.0,0.0,estimator_feature_importance
131,Random Forest,Last Regimen_AZT+3TC+ABC,0.0,0.0,estimator_feature_importance
132,Random Forest,Last Regimen_AZT+3TC+DTG,0.0,0.0,estimator_feature_importance
133,Random Forest,Last Regimen_AZT+3TC+EFV,0.0,0.0,estimator_feature_importance
134,Random Forest,Last Regimen_TDF+FTC+NVP,0.0,0.0,estimator_feature_importance
135,Random Forest,Last Regimen_TDF+FTC+LPV/r,0.0,0.0,estimator_feature_importance
136,Random Forest,Last Regimen_D4T+3TC+EFV,0.0,0.0,estimator_feature_importance
137,Random Forest,Last Regimen_DDI-3TC-EFV,0.0,0.0,estimator_feature_importance
138,Random Forest,Last Regimen_AZT-TDF-NVP,0.0,0.0,estimator_feature_importance
139,Random Forest,Last Regimen_AZT-TDF-3TC-LPV/r,0.0,0.0,estimator_feature_importance
140,Random Forest,Last Regimen_TDF-FTC-ATV/r,0.0,0.0,estimator_feature_importance
141,Random Forest,Last Regimen_d4T-3TC-LPV/r,0.0,0.0,estimator_feature_importance
