rank,model,feature,importance,raw_value,importance_type
109,XGBoost,Pregnancy Status_P,0.0,0.0,estimator_feature_importance
110,XGBoost,Last Regimen_AZT-3TC-LPV/r,0.0,0.0,estimator_feature_importance
111,XGBoost,Last Regimen_AZT-3TC-EFV,0.0,0.0,estimator_feature_importance
112,XGBoost,Last Regimen_AZT-3TC-DTG,0.0,0.0,estimator_feature_importance
113,XGBoost,Last Regimen_AZT-3TC-ATV/r,0.0,0.0,estimator_feature_importance
114,XGBoost,Last Regimen_AZT-3TC-ABC,0.0,0.0,estimator_feature_importance
115,XGBoost,Last Regimen_AZT+3TC+TDF,0.0,0.0,estimator_feature_importance
116,XGBoost,Last Regimen_AZT+3TC+NVP,0.0,0.0,estimator_feature_importance
117,XGBoost,Last Regimen_AZT+3TC+LPV/r,0.0,0.0,estimator_feature_importance
118,XGBoost,Last Regimen_AZT+3TC+EFV,0.0,0.0,estimator_feature_importance
119,XGBoost,Last Regimen_AZT+3TC+DTG,0.0,0.0,estimator_feature_importance
120,XGBoost,Last Regimen_DDI-3TC-EFV,0.0,0.0,estimator_feature_importance
121,XGBoost,Last Regimen_D4T-3TC-EFV,0.0,0.0,estimator_feature_importance
122,XGBoost,Last Regimen_AZT-TDF-NVP,0.0,0.0,estimator_feature_importance
123,XGBoost,Last Regimen_D4T+3TC+EFV,0.0,0.0,estimator_feature_importance
124,XGBoost,Last Regimen_AZT-TDF-3TC-LPV/r,0.0,0.0,estimator_feature_importance
125,XGBoost,Last Regimen_AZT-3TC-TDF,0.0,0.0,estimator_feature_importance
126,XGBoost,Last Regimen_TDF+FTC+NVP,0.0,0.0,estimator_feature_importance
127,XGBoost,Last Regimen_TDF+FTC+LPV/r,0.0,0.0,estimator_feature_importance
128,XGBoost,Last Regimen_TDF+FTC+EFV,0.0,0.0,estimator_feature_importance
129,XGBoost,Last Regimen_TDF+3TC+NVP,0.0,0.0,estimator_feature_importance
130,XGBoost,Last Regimen_TDF+3TC+EFV,0.0,0.0,estimator_feature_importance
131,XGBoost,Last Regimen_TDF+3TC+LPV/r,0.0,0.0,estimator_feature_importance
132,XGBoost,Last Regimen_TDF-3TC-NVP,0.0,0.0,estimator_feature_importance
133,XGBoost,Last Regimen_TDF-3TC-LPV/r,0.0,0.0,estimator_feature_importance
134,XGBoost,Last Regimen_TDF-FTC-EFV,0.0,0.0,estimator_feature_importance
135,XGBoost,Last Regimen_TDF-FTC-DTG,0.0,0.0,estimator_feature_importance
136,XGBoost,Last Regimen_TDF-FTC-ATV/r,0.0,0.0,estimator_feature_importance
137,XGBoost,Last Regimen_TDF-FTC-LPV/r,0.0,0.0,estimator_feature_importance
138,XGBoost,Last Regimen_d4T-3TC-LPV/r,0.0,0.0,estimator_feature_importance
139,XGBoost,Last Regimen_d4T+3TC+NVP,0.0,0.0,estimator_feature_importance
140,XGBoost,Last Regimen_TDF-FTC-NVP,0.0,0.0,estimator_feature_importance
141,XGBoost,Last Regimen_d4T-3TC-NVP,0.0,0.0,estimator_feature_importance
